time_start,time_end,origin_station,destination_station,bike,member,helmet,payment_method
10:29:00 2016-08-31,10:47:56 2016-08-31,31102,31279,20978,No,-,credit card
10:29:00 2016-08-31,10:32:12 2016-08-31,31505,31627,20515,Yes,-,cash
10:29:00 2016-08-31,10:32:16 2016-08-31,31400,31401,20108,Yes,-,cash
10:29:00 2016-08-31,10:52:23 2016-08-31,31261,31077,20307,No,1,credit card
10:28:00 2016-08-31,10:38:48 2016-08-31,31279,31201,01025,Yes,-,credit card
10:28:00 2016-08-31,10:34:44 2016-08-31,31245,31274,22324,Yes,-,cash
10:28:00 2016-08-31,11:01:46 2016-08-31,31611,31116,20622,Yes,2,credit card
10:28:00 2016-08-31,10:52:39 2016-08-31,31261,31077,21654,No,1,cash
10:28:00 2016-08-31,10:42:37 2016-08-31,31118,31624,21935,Yes,-,cash
10:29:00 2016-08-31,10:38:14 2016-08-31,31623,31619,22796,Yes,-,cash
10:29:00 2016-08-31,10:42:11 2016-08-31,31226,31314,21462,Yes,-,credit card
10:27:00 2016-08-31,10:51:40 2016-08-31,31517,31244,21161,Yes,2,cash
10:27:00 2016-08-31,10:47:38 2016-08-31,31236,31205,20940,Yes,-,credit card
10:27:00 2016-08-31,10:37:52 2016-08-31,31269,31642,21893,Yes,-,cash
10:26:00 2016-08-31,11:04:05 2016-08-31,31213,31258,20331,Yes,1,credit card
10:26:00 2016-08-31,10:47:27 2016-08-31,31006,31260,20076,Yes,1,cash
10:26:00 2016-08-31,10:37:16 2016-08-31,31118,31119,20429,Yes,1,credit card
10:26:00 2016-08-31,10:38:59 2016-08-31,31270,31213,22258,Yes,1,cash
10:25:00 2016-08-31,10:47:49 2016-08-31,31101,31238,20692,No,-,cash
10:25:00 2016-08-31,10:37:35 2016-08-31,31045,31084,21569,Yes,1,cash
10:25:00 2016-08-31,10:35:34 2016-08-31,31621,31108,21217,Yes,-,cash
10:25:00 2016-08-31,11:03:26 2016-08-31,31213,31258,00155,Yes,-,cash
10:24:00 2016-08-31,10:29:56 2016-08-31,31117,31200,22424,Yes,-,credit card
10:24:00 2016-08-31,10:30:17 2016-08-31,31628,31608,00980,Yes,-,cash
10:24:00 2016-08-31,10:31:42 2016-08-31,31605,31623,22647,Yes,-,cash
10:23:00 2016-08-31,11:06:41 2016-08-31,31037,31314,21585,No,-,credit card
10:23:00 2016-08-31,10:24:58 2016-08-31,31119,31101,01308,Yes,2,credit card
10:23:00 2016-08-31,10:31:40 2016-08-31,31047,31086,00433,Yes,1,credit card
10:23:00 2016-08-31,10:33:47 2016-08-31,31200,31253,21301,Yes,-,cash
