bike,destination_station,duration,helmet,member,origin_station,payment_method,time_start
20409,31228,840,1,Registered,31117,credit card,2016-08-31 23:59:00
20756,31600,656,0,Casual,31279,cash,2016-08-31 23:58:00
22626,31101,353,0,Registered,31107,cash,2016-08-31 23:58:00
980,31212,219,0,Casual,31200,credit card,2016-08-31 23:58:00
21338,31280,213,0,Registered,31281,cash,2016-08-31 23:56:00
21422,31241,637,2,Registered,31624,cash,2016-08-31 23:56:00
748,31023,356,0,Casual,31034,credit card,2016-08-31 23:54:00
21480,31267,924,2,Registered,31124,credit card,2016-08-31 23:53:00
20113,31285,309,1,Registered,31242,cash,2016-08-31 23:53:00
943,31011,447,2,Registered,31007,credit card,2016-08-31 23:52:00
833,31214,438,2,Registered,31122,cash,2016-08-31 23:52:00
20404,31244,350,1,Registered,31264,credit card,2016-08-31 23:51:00
22750,31201,568,0,Registered,31238,cash,2016-08-31 23:51:00
21185,31226,229,0,Registered,31304,cash,2016-08-31 23:50:00
22401,31114,405,0,Registered,31212,credit card,2016-08-31 23:50:00
21736,31260,2592,0,Registered,31067,credit card,2016-08-31 23:47:00
21005,31122,570,0,Registered,31111,cash,2016-08-31 23:46:00
22953,31258,981,0,Registered,31235,cash,2016-08-31 23:46:00
21251,31000,1138,0,Casual,31000,cash,2016-08-31 23:45:00
21287,31245,717,0,Registered,31400,credit card,2016-08-31 23:43:00
20668,31639,805,1,Registered,31506,credit card,2016-08-31 23:42:00
20891,31604,869,0,Registered,31201,cash,2016-08-31 23:41:00
116,31245,661,0,Casual,31239,credit card,2016-08-31 23:41:00
1422,31400,345,0,Registered,31401,credit card,2016-08-31 23:41:00
22510,31604,536,0,Registered,31247,credit card,2016-08-31 23:41:00
20027,31400,319,0,Registered,31401,cash,2016-08-31 23:42:00
21436,31402,588,1,Registered,31124,credit card,2016-08-31 23:40:00
20299,32028,115,0,Registered,32000,credit card,2016-08-31 23:40:00
1258,31251,301,0,Registered,31223,credit card,2016-08-31 23:40:00
225,31108,419,0,Registered,31264,credit card,2016-08-31 23:39:00
21158,31114,227,0,Registered,31101,cash,2016-08-31 23:37:00
21950,31101,146,0,Registered,31123,credit card,2016-08-31 23:37:00
22578,31517,331,0,Registered,31603,cash,2016-08-31 23:36:00
22522,31200,388,1,Registered,31114,cash,2016-08-31 23:36:00
22801,31406,372,2,Registered,31602,cash,2016-08-31 23:36:00
1408,31114,255,0,Casual,31101,credit card,2016-08-31 23:36:00
20728,31226,1008,0,Registered,31202,credit card,2016-08-31 23:35:00
22953,31235,714,0,Registered,31222,credit card,2016-08-31 23:34:00
21558,31244,889,0,Registered,31275,cash,2016-08-31 23:34:00
21159,31229,1246,2,Registered,31611,credit card,2016-08-31 23:34:00
20836,31623,576,1,Registered,31265,cash,2016-08-31 23:32:00
785,31228,887,0,Registered,31232,cash,2016-08-31 23:32:00
1189,31611,338,0,Registered,31517,credit card,2016-08-31 23:33:00
21682,31401,686,0,Registered,31111,credit card,2016-08-31 23:31:00
21963,31632,1631,1,Registered,31228,cash,2016-08-31 23:31:00
22165,31251,835,0,Registered,31214,credit card,2016-08-31 23:30:00
20750,31241,692,1,Registered,31624,cash,2016-08-31 23:30:00
20955,31310,225,1,Registered,31303,credit card,2016-08-31 23:29:00
22643,31241,648,0,Casual,31268,credit card,2016-08-31 23:29:00
22753,31101,437,1,Casual,31104,credit card,2016-08-31 23:28:00
1409,31283,846,0,Registered,31110,cash,2016-08-31 23:28:00
20672,31601,1338,0,Registered,31228,cash,2016-08-31 23:27:00
20328,31118,999,0,Registered,31223,credit card,2016-08-31 23:27:00
122,31401,686,1,Registered,31101,cash,2016-08-31 23:27:00
22011,31214,1665,2,Registered,31214,credit card,2016-08-31 23:27:00
20891,31201,823,0,Registered,31314,credit card,2016-08-31 23:26:00
21354,31505,566,2,Registered,31245,cash,2016-08-31 23:27:00
20915,31038,154,1,Registered,31037,credit card,2016-08-31 23:24:00
20333,31029,180,1,Registered,31017,credit card,2016-08-31 23:24:00
22755,31268,463,0,Registered,31104,credit card,2016-08-31 23:22:00
20710,31508,271,1,Registered,31627,cash,2016-08-31 23:23:00
1351,32055,540,0,Registered,32039,cash,2016-08-31 23:21:00
951,31246,433,2,Registered,31246,credit card,2016-08-31 23:21:00
22171,31630,570,0,Registered,31606,cash,2016-08-31 23:20:00
22363,31205,893,0,Registered,31105,credit card,2016-08-31 23:20:00
22924,31614,917,0,Registered,31611,cash,2016-08-31 23:20:00
21755,31628,253,0,Registered,31269,credit card,2016-08-31 23:17:00
22510,31247,1580,0,Registered,31604,cash,2016-08-31 23:15:00
22705,31030,332,0,Registered,31017,credit card,2016-08-31 23:14:00
21290,31097,218,0,Casual,31047,cash,2016-08-31 23:14:00
21422,31624,172,0,Registered,31638,credit card,2016-08-31 23:15:00
1328,31286,209,2,Registered,31202,credit card,2016-08-31 23:13:00
22369,31630,547,0,Registered,31612,credit card,2016-08-31 23:13:00
918,31268,243,0,Registered,31268,cash,2016-08-31 23:12:00
1186,31107,174,0,Registered,31103,credit card,2016-08-31 23:11:00
21774,31053,925,1,Registered,31089,cash,2016-08-31 23:11:00
22267,31229,431,2,Registered,31234,cash,2016-08-31 23:11:00
1320,31600,287,0,Registered,31264,credit card,2016-08-31 23:10:00
22113,31627,1094,2,Registered,31213,credit card,2016-08-31 23:10:00
22867,31200,926,0,Registered,31111,cash,2016-08-31 23:11:00
22519,31101,422,0,Registered,31602,credit card,2016-08-31 23:09:00
22260,31206,420,0,Casual,31206,credit card,2016-08-31 23:09:00
21597,31600,633,0,Registered,31268,credit card,2016-08-31 23:09:00
22636,31631,248,0,Registered,31623,cash,2016-08-31 23:08:00
22077,31218,394,0,Registered,31228,cash,2016-08-31 23:07:00
22248,31265,877,0,Registered,31202,cash,2016-08-31 23:08:00
391,31805,1268,1,Casual,31628,cash,2016-08-31 23:06:00
20228,31111,1366,0,Registered,31101,credit card,2016-08-31 23:06:00
20067,31623,570,0,Registered,31263,credit card,2016-08-31 23:07:00
22953,31222,1667,0,Registered,31201,credit card,2016-08-31 23:05:00
20930,31628,267,0,Casual,31608,credit card,2016-08-31 23:05:00
21789,31234,241,0,Registered,31255,cash,2016-08-31 23:05:00
20578,31805,1282,0,Casual,31628,credit card,2016-08-31 23:05:00
785,31232,1582,0,Registered,31604,credit card,2016-08-31 23:05:00
22557,31091,1311,0,Registered,31258,cash,2016-08-31 23:06:00
217,31614,1208,0,Casual,31212,cash,2016-08-31 23:04:00
20989,31123,733,1,Registered,31305,cash,2016-08-31 23:04:00
303,31511,164,0,Registered,31504,cash,2016-08-31 23:04:00
498,31013,462,2,Registered,31009,cash,2016-08-31 23:04:00
20769,31251,1355,0,Registered,31303,credit card,2016-08-31 23:04:00
21233,31636,824,0,Registered,31104,credit card,2016-08-31 23:04:00
1425,31266,642,0,Registered,31102,cash,2016-08-31 23:05:00
20682,31909,733,0,Registered,31098,cash,2016-08-31 23:03:00
21898,31114,734,0,Registered,31100,credit card,2016-08-31 23:03:00
21963,31228,1425,0,Registered,31242,cash,2016-08-31 23:03:00
366,31251,721,0,Registered,31100,credit card,2016-08-31 23:02:00
612,31238,4149,0,Casual,31241,credit card,2016-08-31 23:02:00
21424,31637,697,1,Registered,31620,cash,2016-08-31 23:02:00
20216,31609,1138,0,Registered,31606,credit card,2016-08-31 23:01:00
632,31102,155,0,Registered,31602,credit card,2016-08-31 23:01:00
21011,31258,1685,2,Casual,31277,cash,2016-08-31 23:01:00
22643,31268,1569,0,Casual,31271,credit card,2016-08-31 23:01:00
21411,31627,780,0,Registered,31201,cash,2016-08-31 23:00:00
957,31258,1719,1,Casual,31277,credit card,2016-08-31 23:00:00
22835,31265,1905,0,Registered,31265,cash,2016-08-31 23:00:00
